"FIPSCODE","PSTATABB","CNTYNAME","Category"
"48271","TX","Kinney","Contains solar/wind"
"48275","TX","Knox","Contains solar/wind"
"48277","TX","Lamar","Contains FF and solar/wind "
"48279","TX","Lamb","Contains FF"
"48293","TX","Limestone","Contains FF and solar/wind "
"48299","TX","Llano","Contains FF"
"48303","TX","Lubbock","Contains FF and solar/wind "
"48305","TX","Lynn","Contains solar/wind"
"48307","TX","McCulloch","Contains solar/wind"
"48309","TX","McLennan","Contains FF and solar/wind "
"48315","TX","Marion","Contains FF"
"48317","TX","Martin","Contains solar/wind"
"48321","TX","Matagorda","Contains FF and solar/wind "
"48323","TX","Maverick","Contains FF"
"48327","TX","Menard","Contains solar/wind"
"48333","TX","Mills","Contains solar/wind"
"48335","TX","Mitchell","Contains FF and solar/wind "
"48339","TX","Montgomery","Contains FF"
"48341","TX","Moore","Contains solar/wind"
"48347","TX","Nacogdoches","Other plant"
"48349","TX","Navarro","Contains FF and solar/wind "
"48351","TX","Newton","Contains FF"
"48353","TX","Nolan","Contains solar/wind"
"48355","TX","Nueces","Contains FF and solar/wind "
"48357","TX","Ochiltree","Contains solar/wind"
"48359","TX","Oldham","Contains solar/wind"
"48361","TX","Orange","Contains FF"
"48363","TX","Palo Pinto","Contains FF"
"48367","TX","Parker","Other plant"
"48369","TX","Parmer","Contains solar/wind"
"48371","TX","Pecos","Contains FF and solar/wind "
"48373","TX","Polk","Contains solar/wind"
"48375","TX","Potter","Contains FF"
"48377","TX","Presidio","Contains solar/wind"
"48381","TX","Randall","Contains solar/wind"
"48383","TX","Reagan","Contains solar/wind"
"48385","TX","Real","Contains solar/wind"
"48389","TX","Reeves","Contains solar/wind"
"48391","TX","Refugio","Contains solar/wind"
"48393","TX","Roberts","Contains solar/wind"
"48395","TX","Robertson","Contains FF"
"48401","TX","Rusk","Contains FF"
"48407","TX","San Jacinto","Contains FF"
"48409","TX","San Patricio","Contains FF and solar/wind "
"48413","TX","Schleicher","Contains solar/wind"
"48415","TX","Scurry","Contains FF and solar/wind "
"48417","TX","Shackelford","Contains solar/wind"
"48421","TX","Sherman","Contains solar/wind"
"48425","TX","Somervell","Other plant"
"48427","TX","Starr","Contains solar/wind"
"48431","TX","Sterling","Contains solar/wind"
"48439","TX","Tarrant","Contains FF"
"48441","TX","Taylor","Contains FF and solar/wind "
"48447","TX","Throckmorton","Contains solar/wind"
"48449","TX","Titus","Contains FF"
"48451","TX","Tom Green","Contains solar/wind"
"48453","TX","Travis","Contains FF and solar/wind "
"48459","TX","Upshur","Contains solar/wind"
"48461","TX","Upton","Contains solar/wind"
"48463","TX","Uvalde","Contains solar/wind"
"48465","TX","Val Verde","Contains FF and solar/wind "
"48467","TX","Van Zandt","Contains solar/wind"
"48469","TX","Victoria","Contains FF"
"48475","TX","Ward","Contains FF"
"48479","TX","Webb","Contains FF and solar/wind "
"48481","TX","Wharton","Contains FF and solar/wind "
"48485","TX","Wichita","Contains FF"
"48487","TX","Wilbarger","Contains solar/wind"
"48489","TX","Willacy","Contains solar/wind"
"48491","TX","Williamson","Contains FF and solar/wind "
"48493","TX","Wilson","Contains solar/wind"
"48495","TX","Winkler","Contains solar/wind"
"48497","TX","Wise","Contains FF"
"48501","TX","Yoakum","Contains FF"
"48503","TX","Young","Contains FF and solar/wind "
